,text
56,９月23日火曜日（秋分の日）の #次回ラヴィット予告（速報版）１．ゲスト出演者➀パネラー席ゲスト・水上恒司さん・山下美月さん（元乃木坂46➡️現在は女優として活躍）・”SNOWMAN”宮舘涼太さん※今週はさっくん週だが舘様は番宣ゲストとして出演　以上、映画『火喰い鳥を、喰う』番宣ゲストの方々です・水田信二さん・”相席スタート”山添 寛さん※明日で火曜ラヴィット63週連続出演となります　　　　　　　　　　　　　　　　　　　　　　以上の４組となります。　　　　　　　　　２．番組内容➀OPコーナー（明日は２時間OPとなります）・究極の心理ゲーム”ビリビリファイト”開催‼️　SNOWMAN対決❗️宮舘軍🆚佐久間軍　一体どちらが勝利するのかー乞うご期待・”第２回オムライス王決定戦”も開催します。ほか　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　➁曜日対抗選手権・ラッピー写真レース　今週は『かっこいい写真』です。　※視聴者の皆さんのイイねで勝敗が決まるよ‼️など盛りだくさんの内容でお届けします、お楽しみに👍#ラヴィット
57,これといったヒット曲がないのにトップであり続ける乃木坂46👑#一ノ瀬美空 
58,＜今夜の #乃木のの＞本日9/14(日) 18:00から#菅原咲月(MC)、#井上和　が担当します🌙なんと！#乃木のの　で #井上和 の寝言を初公開！？👀📻ラジオを聴くにはこちらから！👉 の「の」#文化放送 
59,3.28 🎀2期生おめでとうの日🎀乃木坂46はもちろん、同期の2期生はずっとずっと特別な存在です。みんな絶対幸せな人生を送ろうね🪽 
60,乃木坂46さんの「ガールズルール」 #ニアジョイ1stツアー 福岡公演にてカバーさせていただきました!!凄く緊張しましたが、皆さんがコールもしてくださって嬉しかったです！！大好きな楽曲を歌って踊れて幸せな時間でした🥲♡ #ニアジョイ 
61,【元乃木坂46】中田花奈ちゃん気に入ったらRT＆いいね!!#中田花奈 #乃木坂46 
62,【今日は何の日】9月12日の乃木坂46 遠藤さくら が出演#遠藤さくら 
63,『#ネムルバカ 』ゆる〜い会話劇が心地よくて、面白くて、なんとなくリアルな人間模様を笑いながら観てたのに、最後ズルいよ。タイトルの出し方だってズルいよ。号泣だよ。号泣しました。久保ちゃん乃木坂46卒業だから応援のために観たんだけど、めっちゃ大好きな作品になりました。 
64,【ニュース更新】 久保史緒里 卒業のお知らせ 
65,乃木坂46・久保史緒里、卒業を発表　11月に横浜アリーナで卒業コンサート(オリコン) アイドルグループ・乃木坂46の久保史緒里（24）が16日、グループ公式サイトで卒業を発表した。卒業おめでとうございます🎊寂しいですけど今後の活躍に期待です🥰 
66,本日9月21日(日)18:00〜、文化放送　乃木坂46の「の」に、#菅原咲月 #弓木奈於 が出演します🤭写真は''親近感のオビレ''です🐟''センチメンタルツー''と迷いました😂ぜひ、お聴きください‼️🍄#乃木のの#乃木坂46 
67,✨LRメンバー新登場✨#岩本蓮加🎸#乃木坂46_おひとりさま天国メンバーを入手してロングverの限定ムービーをGET！#乃木フラ 
68,✨#乃木のの お知らせ✨本日は、#菅原咲月(MC)、#井上和   がお届けしました🌙お楽しみいただけましたか？次回9/21 (日) 18:00からは4期生 ＃弓木奈於 が登場！📻聴き逃し配信はこちらから！👉 の「の」#文化放送 
69,／ 📢情報解禁 第1弾2年ぶりに開催決定✨「新参者 二〇二五 in TOKYU KABUKICHO TOWER」＼乃木坂46 六期生、櫻坂46 四期生、日向坂46 五期生によるライブ公演「新参者 LIVE at THEATER MILANO-Za」開催が決定！さらに、全国の１０９シネマズでライブビューイング、オンラインライブ配信も行います！詳細はこちら！ #櫻坂46 #日向坂46 ＃新参者
70,⏳#乃木のの タイムフリー⏳前回は #井上和  がお話ししました🌙💭明日9/21(日) 18:00からは4期生 ＃弓木奈於  が登場します✉📻聴き逃し配信はこちら👉 の「の」#文化放送 
71,乃木坂46久保史緒里、卒業発表11月26・27日に横アリで卒コン✍🏻コメント「今を逃してはならないと思いました」 
72,"💜乃木坂46 川﨑桜ちゃん愛用バッグ■ CELINEミディアム AVA（アヴァ） トリオンフ バッグ¥352,000#乃木坂46 #川﨑桜 #奥田いろは 💡↓↓購入はこちら↓↓💡🔗  "
73,【ブログ更新 小川彩】 来年の夏はまたきっとここに来るだろう  
74,【今日は何の日】9月14日の乃木坂46　マシュマロケア」ボディシリーズの新CMが放送開始されました。　齋藤飛鳥#齋藤飛鳥 
75,【今日は何の日】9月18日の乃木坂46 完成披露試写会自分で鳴らしたクラッカーに驚いちゃう飛鳥ちゃん#齋藤飛鳥 
76,【ブログ更新 冨里奈央】 リアルミーグリ＆サイン会🍁  
77,このあと23:00〜 #ゆなtime 💡今週はネコちゃんが気になる #柴田柚菜 へ「猫のいる生活」をテーマにお届け🐈ネコちゃんのいるリスナーさんからネコちゃんとの生活メッセージを送っていただきました✨✉️yuna@bayfm.co.jp #乃木坂46 #BAYFM   
78,【今日は何の日】9月15日の乃木坂46 OF LOCK!　賀喜遥香#賀喜遥香 
79,【井上和💜中西アルノ】  超・乃木坂スター誕生！  『 Lemon 』米津玄師#井上和 #中西アルノ #乃木坂46 #5期生 #あるなぎ #乃木坂スター誕生 #Lemon #米津玄師 
80,男の子の心をキュンとさせちゃうかわいい乃木坂46のキューティーハニー 
81,こんな細くて白い子が乃木坂一大喰らいとか耳キーン案件 
82,いつも5期5期うるさい私ですが、なんだかんだいってもかきさくは乃木坂の宝です 
83,"💜乃木坂46 井上和ちゃん着用■ Dr. MartensCORRAN メリージェーン シューズ¥31,900#乃木坂46 #井上和 #リアルミーグリ 昨日のリアミにて着用👟おそらくこれであってると思います✨公式サイトでは完売でした...！💡↓↓購入はこちら↓↓💡🔗  "
84,乃木坂46 39thミーグ(25.9.23、3部)小川彩海邉朱莉自：初めてきました柴田柚菜 
85,井上和ちゃんの「with MUSIC」を忘れない画像まとめ 
86,乃木坂46の伊藤理々杏ちゃんが愛用してるキングダムの束感マスカラ良すぎて優勝🥲束感まつ毛で盛りたいのに不器用で不自然になるし諦めてた私でも、簡単に綺麗な束感まつ毛が作れて最高🥳❗️簡単に韓国アイドルの様なまつ毛が作れるし、盛れるからオススメ🙆🏻‍♀️1760円 
87,【今日は何の日】9月19日の乃木坂46 
88,封入パターンが変わったのとリアミも近いので乃木坂46 生写真、所感レートを置いておきますあくまで所感ですので、それぞれの推し補正で目安程度に利用ください😊上下はレート近いので全然変わりますし、ポーズや無限回収によってレートが変わることもあります 
89,明日3/30(水)10:25〜日本テレビ『PON!』にて永野のコーナー『ボクはテレビ1年生  永野の、教えて先輩！』が始まります！初回の先輩は乃木坂46生駒里奈さんです！観てくださ〜い！！ 
90,【ブログ更新 佐藤璃果】 だって今も好きなんだ  
91,【今日は何の日】9月23日の乃木坂46 
92,【今日は何の日】9月23日の乃木坂46 
93,💜乃木坂46 梅澤美波ちゃん愛用バッグ■ GUCCILady Lock 2WAY ハンドバッグ#乃木坂46 #梅澤美波 #乃木坂逃避行 💡↓↓購入はこちら↓↓💡※現在販売はしておらず、リンク先はUSED品となります。🔗  
94,乃木坂配信中(生配信)にて､2022 11/05 31th ここにはないもの 初披露 発売日 12/072023 11/14 34th Monopoly 初披露 発売日 12/062024 11/09 37th 歩道橋 初披露 発売日 12/11さて今年は40thを11月に初披露？発売日は12月以降？
95,乃木坂46 真夏の全国ツアー 2025 神宮球場ライブ のオープニングで使っていた 王冠ティアラ、ベースのパーツを見つけたのでお手軽にレプリカ作成してみました。５期生 池田瑛紗さん用に準じてますが、用意できたパーツの都合で 色んなトコが違ってます😅 
96,【呪術廻戦 × WIND AND SEA】コラボコレクションが国内4月17日に発売予定。キーヴィジュアルには元乃木坂46の女優 生駒里奈さんが起用［ウィンダンシー WDS］詳しくは記事をチェック↓ 
97,秋元真夏 最新画像まとめ21 
98,【今日は何の日】9月23日の乃木坂46 延長戦!」#橋本奈々未 
99,JO1、テレ朝「ドリフェス」出演決定❗️ STREET、乃木坂46、≠ME、HANA🎸11/2(日)クリープハイプano、、SHISHAMO、sumika、羊文学、マルシィ🎸11/3(月・祝)ATEEZINI、EVNNE、NiziU、NEXZ、M!LK 
100,ん？めっちゃ今更だけど3期ちゃんとの同期？って乃木坂だと5期、日向だと4期になるってこと？🤔 
101,乃木坂46 生写真 トレ 肩あきトップス譲 画像1求 画像2郵送📮のみ 
102,私はこの曲で、久保史緒里ちゃんに一目惚れしました。この曲が乃木坂46を更に好きになれたきっかけでもあるし、本当に大切で大好きな楽曲です。ありがとう。#久保史緒里#乃木坂46_人は夢を二度見る 
103,（メモ）#生島企画室（ファーストエージェント）＠元乃木坂46 
104,これが乃木坂の久保史緒里なんだよ。彼女を応援しないで誰を応援するんだよ。#久保史緒里#乃木坂46#久保史緒里卒業 
105,11月8日(土)～乃木坂46六期生、櫻坂46四期生、日向坂46五期生による「新参者 二〇二五 in TOKYU KABUKICHO TOWER」が開催決定🎊詳しくはURLの特設サイトをご確認ください✨ 
106,五百城茉央ちゃんの水着画像とランジェリー画像まとめ１ 
107,【今日は何の日】9月17日の乃木坂46 STATION ウルトラFES#白石麻衣 
108,ぐぬぬ…(卒倒)#与田祐希 #五百城茉央 #菅原咲月(via 乃木坂46 LIVE Blu-ray＆DVD「YUUKI YODA GRADUATION CONCERT」特典映像「Making of 与田祐希 卒業コンサート」ダイジェスト  
109,乃木坂46ランダム生写真「ベースボールシャツ2025」のトレードを募集します。以下の中からご希望があれば、お気軽にご連絡ください。 
110,【今日は何の日】9月21日の乃木坂46 / 今だからごめんなさい 乃木坂反省中』#深川麻衣#西野七瀬#白石麻衣 
111,「涙をこらえながら乃木坂46ANNチームに感謝を伝える久保ちゃん」久保ちゃんがANNやってなかったら本当に引退して地元に帰って楽天の広報してたと思う乃木坂46ANNは久保ちゃんの大きな転換期となって、久保ちゃんの秘めた魅力、人間性、愛くるしさ、面白さを最大限に引き出してくれました久保ちゃんの卒業はとても寂しくてしんみりしちゃうけど、そんな空気を無理やり吹き飛ばそうと頑張ってちょける久保ちゃんを見てると、私までしんみりしてらんないなと思いました私も久保ちゃんを見習って卒業までの間、久保ちゃんをネタに全力でちょけていこうと思いますのでよろしくお願いします！😭🦉👍#乃木坂46ANN#久保史緒里
112,今日の乃木坂46ミーグリサーバーエラーで不安定。入れても少し進んでエラー 
113,"💜乃木坂46 川﨑桜ちゃん着用■ FRAY I.Dクラッシュベロアレイヤードカットソーandクラッシュベロアドロストワイドパンツ¥34,100#乃木坂46 #川﨑桜 #sakutangram 💡↓↓購入はこちら↓↓💡🔗  "
114,"💜#乃木坂46 #池田瑛紗 ちゃん着用💭#terepangram┈┈┈┈┈┈┈┈┈■ épine / エピヌépine rimless glasses¥4,980 "
115,🎬💫【#GASHA_CLIP 更新！🆙】💫🎬「NOGI LAND〜Mode Voyage Town 〜」撮影の裏側動画をお届け🎥✨★*――――*★#一ノ瀬美空#川﨑桜★*――――*★📅視聴期間は11月22日(土)まで👀🎥▼動画はこちらから 
116,齋藤飛鳥ちゃん観察日記（2024年） 
117,乃木坂46も投入してみた。好きなので。 #ミドルショットのピンジャケ貼ろうぜ 
118,光のとこにいてね尊い。なんか天の川見えてきちゃうみたいな。乃木坂46の「今、話したい誰かがいる」みたいな、ミスチルの「365日」みたいな。 
119,このあと20:00～より「週刊乃木坂ニュース」を生配信でお送りします🍁乃木坂46に関する最新ニュースをお届けします🌰ぜひご覧ください😊 
120,／乃木坂46・櫻坂46・日向坂46「新参者 二〇二五」約2年ぶり開催🎉＼新宿ミラノ座にてライブ決定🎤📆11月8日～11月30日109シネマズプレミアム新宿＆全国109シネマズでライブビューイングも🔻公演詳細 
121,乃木坂46久保史緒里、グループ卒業発表11月26日・27日に横アリで卒コン開催 
122,乃木坂46・池田瑛紗、全国ツアー合間にたこ焼き32個“爆食い”！中西アルノも思わず「信じられない！」 #乃木坂46  #乃木坂工事中 #池田瑛紗 #中西アル 
123,07👧🏻˚⌖. 久保史緒里ちゃん⟡.·3期生だいすき&gt; &lt;乃木坂好きの女の子のおともだちがほしいです！無言フォロー🙆🏻‍♀️♡orRTでお迎え行きます꙳ 𓇬 ☽卒コンが初参戦ですт т連番も探してたりしますт т#乃木坂46好きな人と繋がりたい  #乃木坂46  #久保史緒里  #久保史緒里卒業コンサート 
124,／「乃木坂46」×「So-net」本日9/22よりコラボTV CMを公開＼乃木坂46のパフォーマンスに「感動モモ」が「超感動」する様子が描かれます😢メンバーによるナレーションにも注目です✨So-netでは対象プランお申し込みで、限定グッズが必ずもらえるキャンペーンも実施中。ぜひお申込みください👀
125,【今日は何の日】9月23日の乃木坂46 Birthday! イジリー岡田さん 
126,乃木坂46さんへTiktok上がりのくだらないインフルエンサー(笑)にカバーしてもらえて満足ですか？これが乃木坂46の目指すところですか 
127,【ブログ更新 五百城茉央】 2025年の夏、素敵な景色をありがとうございました！ 五百城茉央 #きっきのにっき  
128,乃木坂46の井上和さんお疲れ様でした！！！🥰今日もとっても可愛かったです🫶🏻🫶🏻🫶🏻 #のぎおび 
129,【今日は何の日】9月19日の乃木坂46 結成10周年記念号」発売記念SHOWROOM生配信 遠藤さくら 賀喜遥香 #遠藤さくら#賀喜遥香 
130,【ブログ更新 冨里奈央】 19歳  
131,【ブログ更新 柴田柚菜】 夏おわりかな  
132,【ブログ更新 6期生リレー】 夏の果て 鈴木佑捺  
133,【今日は何の日】9月17日の乃木坂46 
134,#真夏の全国ツアー2025全公演グッズ再販 #矢田萌華💐 
135,俺が乃木坂にハマったきっかけこの動画の切り抜きを見てなんだこの可愛い人はとなり、調べたら、「乃木坂46の久保史緒里」で。そこから曲を聴き始めて、工事中を見て、乃木坂の素晴らしさに出会った。史緒里ちゃん、こんな素晴らしいグループに出会わせてくれてありがとう 
136,日経エンタ！10月号は話題の「推し活マップ」掲載！／ “坂道”ファンの男性比率、平均年齢は？＼ガールズグループの中でも推しているファンの男性比率が高い“坂道シリーズ”。男性比率が高い順に並べると――日向坂46（89.1％）乃木坂46（83.1％）櫻坂46（76.0％）一方、グループごとにファンの平均年齢を比較すると――乃木坂46（39.3歳）日向坂（37.1歳）櫻坂46（34.9歳）詳細はエンタ！10月号にて！▼ご購入はコチラ▼ 
137,本日9月18日(木)19:00頃～、 #SHOWROOM 「#のぎおび」に #菅原咲月 が出演します🩹皆さま、ぜひご覧ください🧸🎂 
138,#真夏の全国ツアー2025全公演グッズ再販 #森平麗心💐 
139,【久保史緒里💜井上和】　　乃木坂逃避行   『 卒業について 』#久保史緒里 #井上和 #乃木坂46 #乃木坂逃避行 #やっぱりさみしいよ 
140,【冨里奈央💜乃木坂46】　  乃木坂あそぶだけ『 目ん玉 飛び出る おいしさ 』#冨里奈央 #乃木坂46 #5期生 #乃木坂あそぶだけ #なおなお 
141,女子大生休日VLOG🎀乃木坂46のリアルミーグリでセンターお祝いを伝えに行く日の1日🩵✨#乃木坂46 #推し活 #shorts #金川紗耶 🎼YouTube @YouTubeより🎼tiktok 
142,私は久保史緒里さんが乃木坂46に入ってくれて、９年間もの長い間、活動してくれたから見れた1つの家族が救われた瞬間を絶対に忘れないと思う#久保史緒里 
143,【久保史緒里💜乃木坂46】乃木坂46のオールナイトニッポン　 『 乃木坂46 卒業① 』#久保史緒里 #乃木坂46 #3期生 #乃木坂46ANN #オールナイトニッポン #久保ってる 
144,涙止まらない… 🥹💜羽根の記憶」ほんとに心に響く…8th YEAR BIRTHDAY LIVE、大切な思い出✨#乃木坂46 #8thバスラ 
145,【大越ひなの💜愛宕心響】　乃木坂スター誕生！SIX 　『 チェリー 』スピッツ#大越ひなの #愛宕心響 #乃木坂46 #乃木坂スター誕生 #6期生 #チェリー #スピッツ 
146,＼絶賛発売中‼️／#GoodsPress 10月号乃木坂46・冨里奈央さん連載「NAOGRAPHIC」より、オフショットをお届けします📸今回は下北沢での撮影に挑戦しました✨️📘 詳細は10月号をチェック！🔗  #グッズプレス ＃乃木坂46 ＃冨里奈央 ＃NAOGRAPHIC 
147,【鈴木佑捺💜中西アルノ】　乃木坂スター誕生！SIX 　  『 小さな革命 』　   SUPER BEAVER#中西アルノ #鈴木佑捺 #乃木坂46 #乃木坂スター誕生 #6期生 #SUPERBEAVER 
148,【乃木坂46💜5期生】新・乃木坂スター誕生！『 金八先生から 贈る言葉 』#乃木坂46 #5期生 #武田鉄矢 #オズワルド #乃木坂スター誕生 #贈る言葉 
149,💜乃木坂46 一ノ瀬美空ちゃん愛用カラコン■ chu's meベイビーブラウン¥1705🔗  Ever Colorはじらいベイビー¥1694🔗  #一ノ瀬美空 #リアルミーグリ 可愛い子のカラコン知れるの嬉しい...💕 
150,2025.09.18         🧸    冨里奈央   Happybirthday  🎂      ￤  乃木坂46   /   考えないようにする  ￤#乃木坂46 #冨里奈央#冨里奈央生誕祭2025 
151,【乃木坂46💜5期生】超・乃木坂スター誕生！ 『 ムーンライト伝説 』　衣装が 戦士カラー🥰#乃木坂46 #5期生 #乃木坂スター誕生 #セーラームーン #ムーンライト伝説 #井上和 #菅原咲月 
152,乃木坂46 真夏の全国ツアー2025 セットリストまとめ 【特別版】＋おまけ「2025年“乃木坂の夏”の記録」この夏のことをたくさん覚えておきたくて、こんなものを作ってみました。今年の夏も、いい夏だったな！
